country,year,sample,serial,hhwt,geo1_ca2011,pernum,perwt,age,sex,bplcountry,citizen,empstat,empstatd,labforce,occisco,occ,indgen,ind,incearn
124,2011,124201101,79470000,32.1,59,2,32.1,58,2,24020,2,1,100,2,3,35,112,14,65000
124,2011,124201101,79476000,31.96,24,2,31.96,38,2,39999,3,1,100,2,3,35,112,14,0
124,2011,124201101,79507000,31.69,13,3,31.69,46,2,24020,2,1,100,2,3,35,112,14,24200
124,2011,124201101,79549000,32.42,35,2,32.42,36,2,24020,2,1,100,2,3,35,112,14,8600
124,2011,124201101,79651000,32.1,59,5,32.1,18,2,24020,2,1,100,2,3,35,113,15,1900
124,2011,124201101,79746000,32.1,59,5,32.1,36,2,33080,4,1,100,2,3,35,113,15,18800
124,2011,124201101,79765000,41.23,24,1,41.23,29,2,24020,2,1,100,2,3,35,112,14,36900
124,2011,124201101,79771000,32.03,35,2,32.03,28,2,32100,4,3,300,1,3,35,112,14,0
124,2011,124201101,79828000,32.1,59,1,32.1,30,2,33080,4,1,100,2,3,35,114,18,32100
124,2011,124201101,79828000,32.1,59,2,32.1,36,2,33080,4,1,100,2,3,35,114,18,30000
124,2011,124201101,79828000,32.1,59,3,32.1,34,2,33080,4,1,100,2,3,35,114,18,30900
124,2011,124201101,79828000,32.1,59,4,32.1,28,2,33080,4,1,100,2,3,35,114,18,9900
124,2011,124201101,79845000,50.3,35,1,50.3,29,2,19999,3,1,100,2,3,35,113,15,400
124,2011,124201101,79869000,31.69,13,2,31.69,55,2,24020,2,1,100,2,3,35,114,18,23100
124,2011,124201101,79871000,31.96,24,5,31.96,15,2,24020,2,3,300,1,3,35,112,14,400
124,2011,124201101,79877000,31.69,13,2,31.69,39,2,24020,2,1,100,2,3,35,113,15,37300
124,2011,124201101,79887000,32.1,59,2,32.1,44,2,42120,3,1,100,2,3,35,114,18,21800
124,2011,124201101,79903000,32.03,35,1,32.03,42,2,23000,3,1,100,2,3,35,113,15,24900
124,2011,124201101,79921000,39.3,35,2,39.3,54,2,33080,4,1,100,2,3,35,113,15,0
124,2011,124201101,79944000,32.62,59,3,32.62,24,2,31011,3,1,100,2,3,35,112,14,10300
124,2011,124201101,79944000,32.62,59,6,32.62,31,2,39999,4,1,100,2,3,35,114,18,5600
124,2011,124201101,79995000,49.54,13,1,49.54,37,2,24020,2,1,100,2,3,35,112,14,35800
124,2011,124201101,80016000,32.03,35,4,32.03,32,2,33080,4,1,100,2,3,35,113,15,16800
124,2011,124201101,80026000,32.03,35,2,32.03,51,2,24020,2,1,100,2,3,35,112,14,2200
124,2011,124201101,80058000,31.89,47,2,31.89,62,2,24020,2,1,100,2,3,35,113,15,35000
124,2011,124201101,80092000,31.96,24,1,31.96,52,2,24020,2,1,100,2,3,35,114,18,8600
124,2011,124201101,80203000,32.42,35,1,32.42,39,2,39999,4,3,300,1,3,35,113,15,6900
124,2011,124201101,80392000,32.03,35,3,32.03,18,2,24020,2,3,300,1,3,35,114,18,200
124,2011,124201101,80401000,32.1,59,1,32.1,49,2,24020,2,1,100,2,3,35,112,14,29800
124,2011,124201101,80406000,32.42,35,2,32.42,45,2,32040,3,3,300,1,3,35,114,18,3100
